X,Y,ID,UMKM,KEC.,USAHA,TK_TETAP,TK_LEPAS,IJIN,PEMASARAN,PEMASARA_1,JUMLAH PEM,OMZET,LONG,LAT
308239.19661869,9157810.17172969,5858,HADI SUKISNO,Kroya,Perajin Tempe,4,0,,61776,0,61776,61776,109.261719600000006,-7.615618176000000
306973.338979914,9154625.91875096,5859,KARTAREJA,Kroya,Perajin Tempe,3,0,,61776,0,61776,61776,109.250131400000001,-7.644362309000000
302433.507386622,9158104.03116531,5861,M. SUWANDI,Kroya,Perajin Tempe,3,0,,61776,0,61776,61776,109.209120299999995,-7.612747001000000
306629.506080388,9155941.3911364,5864,SANDIWIRYA,Kroya,Perajin Tempe,4,0,,61776,0,61776,61776,109.247063900000001,-7.632455889000000
305531.172114904,9155846.2074456,5870,ABDUL AZIZ,Kroya,Kesed Kain,5,0,,60000,0,60000,60000,109.237106999999995,-7.633276003000000
307178.028385222,9156353.53621057,5871,SUTARSO,Kroya,Pel Oval,5,0,,60000,0,60000,60000,109.252049900000003,-7.628749620000000
302764.010846075,9157546.05115539,5874,Oo NOTO RUJITO,Kroya,Sikat Ketrok,5,0,,60000,0,60000,60000,109.212094300000004,-7.617804225000000
308452.192563721,9157984.11959148,5875,H. HASYIM,Kroya,Tenda,20,0,,60000,0,60000,60000,109.263656100000006,-7.614053161000000
306906.254095902,9154909.85598872,5878,M. NASLIM MDL,Kroya,Raga Guna Jamu,3,0,,58950,0,58950,58950,109.249533900000003,-7.641792637000000
306324.011168651,9160359.81914756,5879,INSAN TOKO,Kroya,Pakaian,2,0,SIUP TDP,57600,0,57600,57600,109.244457999999995,-7.592495676000000
306301.947289907,9155982.70432043,5882,KISTAM,Kroya,Perajin Tempe,3,0,,54864,0,54864,54864,109.244096999999996,-7.632070310000000
311268.310245609,9155947.41599462,5883,MADSAERI,Kroya,Perajin Tempe,4,0,,54864,0,54864,54864,109.289102700000001,-7.632569856000000
307670.571510982,9157749.09014065,5886,SARIKIN,Kroya,Perajin Tempe,3,0,,54864,0,54864,54864,109.256564499999996,-7.616149737000000
307721.536347845,9158100.97561507,5888,ZAENAL MUSTAQIM,Kroya,Bahan Pokok,3,0,SIUP/TDP,53400,0,53400,53400,109.257039199999994,-7.612970021000000
310922.808325963,9155791.97004835,5889,SUHADWAN,Kroya,Photo Studio,5,0,SIUP/TDP,53055,0,53055,53055,109.285966000000002,-7.633962937000000
303337.637625189,9158622.10728817,5896,H. AMINUN,Kroya,Tembakau Rajang,8,0,,52400,0,52400,52400,109.217332600000006,-7.608096695000000
